LongDiscipline,Discipline,SubDiscipline,Title,r-e,CourseDescription,Credits,Trimester,Term,Grade Level,Prerequisites,Modality
Fine and Performing Arts- Music,6,Music,Introduction to Music,E,"In this survey course, students explore the wide world of music through the sounds of various cultures and time periods, by playing a variety of instruments, and even by creating their own original music. Through hands-on activities, students learn about the building blocks of music: rhythm, melody, tempo, and notation. The course considers the relationship between technology and music and how it influences the way music is accessed and created.",1,1,T,5-6,,
Fine and Performing Arts- Music,6,Music,Middle School Choir,E,"This fun and engaging course for beginning and advanced singers explores the world of choral singing through practice with the human voice and its collective sound. Students develop healthy vocal technique, learn to sight-sing, and consider the influence of music in their lives. Musical selections encompass a wide range of languages and traditions, including classical, contemporary, folk, jazz, Broadway and multicultural music. The course culminates within a public performance. No experience is necessary and students of any skill level are welcome. The class is taught at two levels: 5th/6th and 7th/8th Choirs.",1,1,T,5-8,,
Fine and Performing Arts- Music,6,Music,World Drumming,E,"Throughout the world, rhythms are used to communicate and celebrate. This drumming course explores the cultural rhythms of West Africa and the Islands of the Caribbean through ensemble drumming. Students learn hand drumming techniques for djembe, conga, bongo, tubano and frame drums, gankogui and agogo bells, and a variety of small hand percussion instruments. The class focuses on communication through drumming, teamwork, active listening, and learning through oral traditions. No experience is necessary. The class culminates in a drumming ensemble performance.",1,1,T,7-8,,
Fine and Performing Arts- Music,6,Music,Instrumental Music Ensemble,E,"The Instrumental Music Ensemble explores music through rehearsal and performance on a traditional band or orchestra instrument. Students develop skills by learning and practicing basic techniques such as posture, breathing, and instrument technique. Students learn the basics of music theory such as note reading and rhythm work. Learning goes beyond the page and creates a moving experience for the player and the listener. This class will culminates with a performance at the end of each term. (This course may be taken in multiple trimesters for credit.)",3,3,Y,5-12,,
Fine and Performing Arts- Visual Arts,6,Visual Arts,The Magic of Art: Drawing/Painting/Printmaking,E,"This fun, hands-on course introduces students to various art processes and techniques, such as drawing, painting, and printmaking, exploring different methods of the two-dimensional visual arts and building skills in creating artwork.",1,1,T,5-6,,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Mixed Media,E,"This course emphasizes creativity using diverse materials such as wire, plaster cloth, tape, and found objects to create unique three-dimensional forms. The lass is taught at two levels: 5th/6th Grade and 7th/8th Grade.",1,1,T,5-8,,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Drawing/Painting 1,E,"Students draw many different subjects in this class and explore techniques and methods of drawing and painting that depict three-dimensional forms in spaces such as landscape. They expand their knowledge of basic art and design elements (line, space, texture, form, and color) using a variety of media and surfaces to create artistic forms for visual communication. The course also involves digitizing student artwork, learning basic graphic design concepts and basic Photoshop techniques for image editing and manipulation.",1,1,T,7-8,,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Documentary Filmmaking: Basic Image and Film Editing,E,"This course focuses on basic documentary film-making and editing techniques as well as scene development, interview styles, lighting, and combining still-images with moving footage. Students also learn how to add audio/music, titles, and voiceovers to video footage to tell a story. Adobe Premiere Elements software is used to learn these basic film-editing skills.",1,1,T,7-8,,
History,2,,Introduction to Historical Thinking,R,"This course focuses on North America from pre-history through the 19th century. Using primary source documents, secondary source texts, and hands-on research, students are introduced to what it means to be a historical thinker. The Big Question, Who Am I?, connects course topics to student experience through the researching and writing of family histories. Themes include: native cultures, early Native-European interactions, exploration, colonization, the formation of a new nation. United States geography and map skills are integrated throughout this study.",3,3,Y,5,,
History,2,,Historical Thinking 1,R,"The thematic question of the 6th grade year, What Is The World Made Of? guides this course. Study begins with a unit on World Geography which is followed by a comparative analysis of the history of the ancient civilizations of China, Egypt and West Africa, Greece, and Rome. The literary aspects of these ancient societies are examined concurrently in Literary Thinking 1 through the reading and writing of myths and folktales. Historical thinking skills practiced in this course include asking questions, analyzing evidence, drawing conclusions, and relating this information back to the thematic question.",3,3,Y,6,Integrated with Literary Thinking 1 & Environmental Practices 1,
History,2,,Historical Thinking 2,R,"The Big Question, How Did We Get Here?, guides this course. Study begins with a United States geography unit to give a physical foundation for later topics. A review of the core ideals of the U.S. Constitution and Bill of Rights follows, establishing a framework through which to study American history from the mid-19th Century to the modern day. Thematic units explore the Constitution, Slavery & the Civil War, Immigration & the Industrial Revolution. Students also write a research paper that addresses the Big Question, receiving guidance from the Literary Thinking 2, Information Literacy 2, and Historical Thinking 2 teachers. Midway through the year, emphasis shifts from United States to Washington State History, as students grapple with issues of the region. Historical thinking skills practiced in this course include: asking questions, analyzing evidence, and drawing conclusions that can be formed into ?histories.? Readings include primary sources, secondary selections, and novels. Coursework is integrated throughout the year with the Literary Thinking 2 course.",3,3,Y,7,Integrated with Literary Thinking 2 & Information Literacy 2,
History,2,,Historical Thinking 3,R,"The Big Question, What Does It Mean To Be Human? guides this course. Study focuses on the roots of contemporary global issues and the development of a global perspective through research, discussion, and expression of personal perspectives. Concepts of cultural diversity and resolution dialogue are constructed within a deliberate progression of three units: ?Cultures of the World,? ?Cultures in Conflict,? and ?From Conflict to Consensus.? Literary aspects tied to these topics are explored concurrently in the Literary Thinking 3 course. Curriculum is intentionally designed as preparation for more rigorous Upper School coursework, and centers on respectful discussion and debate that fosters independent thought and expression.",3,3,Y,8,Integrated with Literary Thinking 3,
Information Literacy,10,,Information Literacy 1,R,"Coursework helps students to identify the kind of information required for larger projects, and how to efficiently find, analyze, and use that information. Students are introduced to the fundamentals of Middle School work including: laptop use, available information resources on campus, communication with teachers, basic organization of information, keyboarding skills, note-taking conventions, recognition of reliable (and unreliable) information, and an overview of research techniques. Students identify the kind of information required for larger projects, and how to efficiently find, analyze, and use that information. By course completion, students can make knowledgeable choices about what to do with the information in their lives.",1,1,T,6,,
Information Literacy,10,,Information Literacy 2,R,"Coursework helps students identify what kind of information they require for a project and then efficiently find, analyze, and use that information. 7th Graders explore ways to break down the research process into manageable steps; where to find and how to use more academic information sources such as databases; what copyright is and how to recognize it and avoid plagiarism. Students learn how to create formal MLA citations and use in-text citations for research papers. The course integrates with Historical Thinking 2 and Literary Thinking 2 to support students? first effort at a formal research paper.",1,1,T,7,Integrated with Historical Thinking 2 & Literacy Thinking 2,
Information Literacy,10,,Communication in the Digital Age,R,"Using digital tools and media, and focusing on public presentation, this course develops and refines students? ability to convey information in compelling ways; preparing students for the communication rigors of high school and beyond. Rooted in the art of storytelling, this course addresses the 8th grade Big Question, What Does It Mean to Be Human? Students employ the arts to create, gather, produce, and distribute well-crafted, quality content in a variety of electronic formats for specific audiences. Students become familiar with the digital tools available to express their ideas, including (but not limited to) Publisher, PowerPoint, Adobe Photoshop, Adobe Premiere. A capstone for the 8th Grade experience, the culminating project combines public speaking, video, digital imagery, and audio, and includes a presentation to the school community and families. The holistic approach of this project requires that students be conscious and intentional decision-makers throughout the process of conceptualizing, researching, writing, discussing, promoting, collaborating, and constructing their work.",1,1,T,8,,
Mathematics,3,,Mathematical Thinking 1,R,"This course is designed to give students extensive exposure to working with fractions, decimals, and percentages. Students are prepared for more advanced work in math by covering the fundamentals in these areas, along with topics in 2-dimensional geometry. Students also receive a solid grounding in practical problem-solving. Covered topics include basic number theory, factors and multiples, operations with fractions and decimals and percentages, angles, polygons, and measurement of area and perimeter.",3,3,Y,5-6,,
Mathematics,3,,Mathematical Thinking 2,R,"This course applies the basic operations of Mathematical Thinking 1 to more complex problems. Fractions, decimals, and percentages are mastered and applied to the concepts of ratios, rates and proportions. The use of variables and algebraic concepts are introduced. Topics covered include: proportions, basic probability and statistics, negative numbers, 2 and 3-dimensional geometry, and graphing.",3,3,Y,5-7,Mathematical Thinking 1 or Discipline Faculty Approval ,
Mathematics,3,,Mathematical Thinking 3,R,"This course provides needed background for Algebra and Geometry. Students extend their knowledge of operations on numbers to operations with variables. Use of exponents and use of square roots are also developed. Topics include proportions, linear and non-linear relationships, inequalities, further concepts in geometry, statistics, and probability.",3,3,Y,6-8,Mathematical Thinking 2 or Discipline Faculty Approval ,
Mathematics,3,,Algebra 1,R,"This introductory course explores the concepts of algebra. An investigative approach is emphasized. Students explore patterns and develop the ability to problem-solve using algebraic methods. Some topics from Mathematical Thinking 3 are expanded upon such as exponents, factoring of polynomials, inequalities and systems of equations. Other topics emphasized include graphing and organizing information, data analysis, linear, quadratic and exponential modeling, function notation and probability.ÿ",3,3,Y,7-9,Mathematical Thinking 3 or Discipline Faculty Approval,
Mathematics,3,,Geometry,R,"An investigative approach is used to introduce students to the fundamentals of geometry and stress the relationship between geometric concepts and real applications. Topics covered include properties of parallel lines, all aspects of triangle geometry including congruence and similarity, the Pythagorean Theorem and its applications, areas of 2D figures and volumes of 3D figures, and algebra review. Throughout the course, there is an emphasis on problem-solving, using known geometric properties to deduce solutions and proof techniques.",3,3,Y,8-10,Algebra 1,
Mathematics,3,,Accelerated Algebra/Geometry 1,E,"Coursework includes content of Algebra 1 and portions of Geometry. Introductory algebra topics include: symbolic reasoning, Cartesian coordinate graphs (including linear and quadratic functions and basic transformations), introduction to complex numbers, solving linear systems of equations, proportional reasoning and exponents.",3,3,Y,5-8,"Recommendation by Math Discipline Faculty and Middle School Head.",
Mathematics,3,,Accelerated Algebra/Geometry 2,E,"Coursework includes content of portions of Geometry and Algebra 2. Advanced algebra topics include: transformations and inverses of functions, linear inequalities, linear programming, logarithms, rational functions and conic sections. Introductory geometry topics include lines and angles, parallel lines, congruence, similarity and the Pythagorean Theorem. Advanced geometry topics include: quadrilateral properties, area of 2D figures and volume of 3D figures. An introduction to Trigonometry is also included.",3,3,Y,5-8,Accelerated Algebra & Geometry 1,
Physical Education ,7,,Physical Education ,R,"This course focuses on sports and fitness with an emphasis on promoting life-long training and overall health. It also incorporates physical fitness activities. Units cover three aspects of physical awareness: 1) strength and agility; 2) cardio-fitness and endurance training; and 3) team sports and games. Students become proficient in spatial understanding, teamwork, and leadership skills. The class is taught at two levels: 5th/6th PE and 7th/8th PE.",1,1,T,5-8,,
Science,4,,Introduction to Scientific Thinking,R,"Students are introduced to different areas of scientific thinking by exploring life, earth, physical and environmental science. Students examine topics such as ecology, sustainability, the scientific method, measurement, scientific models, and safety. Students learn to observe and analyze information and practice good lab techniques. Scientific writing is introduced as a skill with which students document and share information. In addition, students read works of both fiction and non-fiction that incorporate relevant scientific content. A key purpose of this course is to guide students in thinking and acting like scientists.",3,3,Y,5,,
Science,4,,Scientific Thinking 1,R,"This physical science course provides an introduction to chemistry and physics. In this study of matter and energy, students consider from a scientific perspective, the 6th grade question, What Is The World Made Of? It is a fun, hands-on course that teaches appropriate use of laboratory equipment, lab safety, and the scientific method. Students design and conduct experiments, build models and incorporate math, history and writing as they continue to learn what it means to think like a scientist.",3,3,Y,6,,
Science,4,,Scientific Thinking 2,R,"Through lab activities, experiments, and research, students explore living things, cells, heredity, evolution, classification, simple organisms, plants, animals, ecology, human body systems and human health. Students gain a better understanding of the diversity of life on Earth. Students also practice with experiment design and techniques. In addition, students grapple scientifically with their big question, How Did We Get Here?",3,3,Y,7,,
Science,4,,Scientific Thinking 3,R,"The course begins by exploring the universe and humans? place in it, and then narrows students? focus to studying the world through the fields of meteorology, oceanography, and geology. An emphasis is placed on gaining a better understanding of Earth, humans? relationship with the planet, and the relationship of the planet with the rest of the universe. Students are challenged to think about ethical questions by investigating current environmental issues. With challenging concepts, reading, discussions, and lab work, this course forms a strong foundation for later work in Upper School science courses.",3,3,Y,8,,
Environmental Practices ,8,,Environmetal Practices 1,R,"This course asks the question What is the World Made Of? from an environmental perspective, asking students to explore plants, animals, ecosystems, and materials. Early trimester exploration is focused on identifying and learning about plants and the natural environment. This is followed by an integrated project connected to the Scientific Thinking 1 and Historical Thinking 1 classes where students dig deep into the origins of the materials used in our daily lives. As a culminating experience the class creates a Field Guide to Animals of the Northwest. Throughout, work continues in Watershed Park removing invasive species and returning the ecosystem to its natural beauty and productivity.",1,1,T,6,Integrated with Scientific Thinking 1 & Historical Thinking 1,
Environmental Practices ,8,,Environmetal Practices 2,R,"This is an experiential and inter-disciplinary continuation of the Environmental Practices I course. Taking place during the spring trimester, study is guided by the question How Did We Get Here? Students focus on human interactions with the environment and the effects of these interactions on ecosystem sustainability. Students engage an integrated project with the Historical Thinking 2 course investigating the environmental history of the northwest. In addition to continuing restoration efforts at Watershed Park, the 7th Grade takes on responsibility for the EPS organic garden, composting, and native species collection.",1,1,T,7,Integrated with Historical Thinking 2 ,
Environmental Practices ,8,,Environmental Practices 3,R,"Coursework focuses on the question What Does It Mean to Be Human? (from the perspective of other organisms on earth) to help students explore local and global sustainability. The course starts with personal energy and water-use audits, and gradually expands to consider global issues connected to human impacts on the planet. Topics include global energy use and production, water use and irrigation, and sustainable farming practices. Course learning is applied to a culminating project where students design and build a sustainable island constrained by the environmental and technological challenges and advantages of our times.  ",1,1,T,8,,
Spanish,5,,Spanish 1A,R,"Coursework provides an introduction to the Spanish language and to Spanish-speaking cultures. Each chapter in the book ­Expr‚sate! 1 focuses on the culture of one Spanish-speaking area of the world while it also introduces new information that helps build language skills and knowledge. This course covers the basics of listening, speaking, reading, and writing in Spanish. Students learn how to speak about people?s names and feelings, the time of day, the date, phone numbers, personal traits, ages and birthdays, daily activities and responsibilities, preferred activities, school life and classes, social plans, relatives, and hometowns. Students also learn the grammar needed to make sense of these topics in the present tense. The emphasis during class-time is on spoken Spanish and much of the class is conducted in the target language. Chapters 1-5 of ­Expr‚sate! 1 are covered.",3,3,Y,5-7,,
Spanish,5,,Spanish 1B,R,"In this course, students continue studying the language by building and expanding on what they have learned in Spanish 1A. Each chapter in ­Expr‚sate! 1 focuses on the culture of one Spanish-speaking area of the world while introducing new information to help increase language skills and knowledge. Students review content learned in Spanish 1A and learn how to speak about family, friends, school, food, health and fitness, shopping, holidays and travel. Much of the course is conducted in the target language and the emphasis during class-time is on spoken Spanish. Chapters 6-10 of ­Expr‚sate! 1 are covered. New grammar topics include pronominal reflexive verbs, giving advice, comparisons, direct object pronouns, and present progressive.ÿ",3,3,Y,5-8,Spanish 1A or Discipline Faculty Approval ,
Spanish,5,,Spanish 2A,R,"Students thoroughly review the basics and continue studying the language by building and expanding on what they have learned in Spanish 1A and 1B. Each chapter in the book ­Expr‚sate! 2 focuses on the culture of one Spanish-speaking area of the world while introducing new information that helps build language skills and knowledge. Students continue to work on the basics of listening, speaking, reading, and writing in Spanish while learning how to speak about friends and relatives, neighborhoods, the city and the countryside, villages, health and fitness, personal interests, and daily routines and activities. Students also learn the grammar needed to make sense of these topics in the present and preterite tenses. The emphasis during class-time is on spoken Spanish and the course is conducted mostly in the target language. Chapters 1-5 of ­Expr‚sate! 2 are covered.ÿ",3,3,Y,5-8,Spanish 1B or Discipline Faculty Approval ,
Spanish ,5,,Spanish 2B,R,"In this course, students continue studying the language by building and expanding on what they learned in Spanish 2A. Each chapter in the textbook focuses on the culture of one Spanish-speaking area of the world while introducing new vocabulary and grammar that builds upon already learned language skills. Students continue to work on speaking, listening and reading comprehension, and writing. Students learn how to talk about childhood activities, life events, foods and food preparation, buying and selling, clothing and handicrafts, nature, outdoor activities, travel, places to visit and things to do while traveling. Grammar topics emphasize the use of past tenses. The emphasis during class-time is on spoken Spanish and the course is conducted mostly in the target language. Chapters 6-10 of ­Expr‚sate! 2 are covered.",3,3,Y,5-8,Spanish 2A or Discipline Faculty Approval ,
Spanish ,5,,Spanish 1,R,"In this course, each unit focuses on the culture of one Spanish-speaking area of the world while introducing grammar and vocabulary to help build skills in the Spanish language. Students learn how to greet people and make introductions, say where people are from, express how they are feeling, and talk about activities, food, clothes, houses, sports and more. The emphasis during class-time is on spoken Spanish. Units 1-5 of ­Avancemos! 1 are covered, as well as other materials that may include books, magazines, film or other media. Grammar topics include present tense of regular, stem-changing and irregular verbs, gustar, possessive adjectives, comparatives, direct object pronouns and affirmative t£ commands.",3,3,Y,7-10,For 7th Graders: Middle School Head Approval ,
Spanish,5,,Spanish 2,R,"In this course, each unit focuses on the culture of one Spanish-speaking area of the world while introducing grammar and vocabulary to help build skills in the Spanish language. Students build upon the skills they acquired in Spanish 1, covering topics such as travel, sporting events, shopping, past events and activities, food, movies, plans and school-related issues. Main grammar points include present and past tenses, affirmative and negative words and expressions, double object pronouns, comparatives, superlatives and informal commands. The goal is to enhance oral and written communication skills while working toward natural expression in Spanish. The class is conducted primarily in Spanish. Units 1-5 of ­Avancemos! 2 are covered as well as other materials that may include books, magazines, film or other media.",3,3,Y,8-11,"Spanish 1.  Upon completion of Spanish 1B highly motivated and capable MS students may be recommended by Spanish Discipline Faculty and Middle/Upper School Heads.",
English- Literary Foundations (Fall),1,Literary Foundations (Fall),Latin American Literature ,E,"This course delves into the fantastic ?magical realism,? a defining aesthetic of Latin American literature, and that literature?s commitment to the exploration of personal and national identities. Coursework includes a selective reading of some of the major Latin American authors of the 19thÿthrough 20th centuries, in addition to the narratives of indigenous cultures. Students read a selection of short fiction by writers such as Borges, Marquez, and Alvarez, poetry by Neruda and others, and Isabelle Allende?s modern classic, House of Spirits. Paired and integrated withÿThe Historical Formation of Latin American Identity.",1,1,T,9-10,Paired and Integrated with The Historical Formation of Latin American Identity,
English- Literary Foundations (Fall),1,Literary Foundations (Fall),Ancient Poetry,E,"This course provides an in-depth introduction to the exciting world of the earliest written texts--their arrogant but generous leaders, half-human best friends, hair-raising battles, and timeless love stories. These ancient epics remain some of the most influential epic poems in human history. Students read ?the first poem,? Gilgamesh, and Homer?s The Odyssey, in addition to a selection of shorter Middle Eastern and Western lyric poetry, and Aristotle?s and Plato?s writings on the role of poetry and art in society. Paired and integrated withÿPre-History: Building Blocks of Civilization.",1,1,T,9-10,Paired and Integrated with Pre-History: Building Blocks of Civilization ,
English- Literary Foundations (Fall),1,Literary Foundations (Fall),Medieval Era: Literary Foundations,E,"This course provides students with an introduction to some of the earliest literature in the Anglo Saxon canon, including Beowulf, the wonderful Arthurian adventure epic poem Sir Gawain and the Green Knight, and Chaucer?s witty and fascinating portraits of ordinary English citizens on pilgrimage in Canterbury Tales. Students explore archetypes and motifs that carry throughout Western literature: the hero?s epic journey of self-discovery; the rise and fall attendant to hubris; the conflicts of the individual (male and female) in society; the relationships between the mystical, supernatural, and the everyday world. Paired and integrated withÿMedieval Era: Europe in Transition.",1,1,T,9-10,Paired and Integrated with Medieval Era: Europe in Transition,
English- Western Literature (Winter),1,Western Literature (Winter),Revolutions in Thought: 19th Century British Literature,E,"This course introduces students to English literature between the French Revolutionary period and the Victorian era at the end of the 19th century. Alongside the French Revolution, English writers sought radical new modes of expressing individual identity in a world of increasing fragmentation and institutionalized power. Early 19th century Romantic and Victorian writers explored their own natures in response to a rapidly modernizing world. Authors include Blake, Dickens, and Charlotte Bronte. Paired and integrated withÿRevolutions in Thought: Enlightenment to Industrial Revolution.",1,1,T,9-10,Paired and Integrated with Revolutions in Thought: Englightenment to Industrial Revolution,
English- Western Literature (Winter),1,Western Literature (Winter),Shakespeare,E,"This course introduces students to Shakespeare?s oeuvre, covering both plays and sonnets. Shakespeare?s work examines and dramatizes issues explosive in any era: the relationship between individuals and the state; love and desire; gender roles, betrayal, loss. Additionally, students explore the qualities of Shakespeare?s poetic language. When possible, students attend a Shakespeare performance and/or work with performing arts faculty on the dramatic aspects of the texts. Paired and integrated withÿRenaissance History: The Cultural Epicenter.",1,1,T,9-10,Paired and Integrated with Renaissance History: The Cultural Epicenter,
English- Western Literature (Winter),1,Western Literature (Winter),Modern Perspectives: Late 19th and Early 20th Century European Literature,E,"As the 19th century comes to a close and the 20th century begins, the Victorian desire for definition turns into a need for independence and the ability to set the course of one?s own life. This sets in motion a monumental battle between the rules of the old world and the desires of the new, intensified by the general sense of cultural dissolution following the First World War. Via Forester, Joyce, Camus, and others, this course explores the consequent aesthetic movement known as modernism. Paired and integrated withÿModern Perspectives: Ideologies in Practice.",1,1,T,9-10,Paired and Integrated with Modern Perspectives: Ideologies in Practice,
English- Modern Global Literature (Spring),1,Modern Global Literature (Spring),Modern African Literature,E,"Modern literature in most African countries explores the continent?s richness of culture, landscape, and struggles for self-determination. This is a contemporary course founded on themes of traditional vs. modern and city vs. pastoral. Students read a novel by the contemporary Nigerian author Chimamanda Adichie, the classic South African novel, Cry, the Beloved Country, and a selection of essays from Ryszard Kapuscinski?s Shadow of the Sun. Paired and integrated withÿModern African History.",1,1,T,9-10,Paired and Integrated with Modern African History,
English- Modern Global Literature (Spring),1,Modern Global Literature (Spring),Modern Asian Literature and Film,E,"Through 20th and 21st century literature about China, Japan, and Vietnam students explore themes as disparate as China?s Cultural Revolution and the wizardry of martial arts. Humor and hope temper fatalistic sensibilities; the supernatural and natural worlds merge to create a multi-faceted realism in literature and in anime film. Students read Samurai?s Garden, Balzac and the Little Chinese Seamstress, Paradise of the Blind, and watch twoÿmodern Asian film classics-To Live and Spirited Away. Paired and integrated withÿModern Asian History.",1,1,T,9-10,Paired and Integrated with Modern Asian History,
English- Modern Global Literature (Spring),1,Modern Global Literature (Spring),Middle-Eastern and Middle-Eastern American Literature,E,"Responding to the new prominence of Middle Eastern geography, history, politics, and culture in the United States, this class incorporates works by Middle Eastern and Middle Eastern American writers: a selection of Israeli and Lebanese poets, Marjane Satrapi (Persepolis), Pulitzer Prize-winning poet Naomi Shihab Nye, and the Iranian-American writer Firoozeh Dumas. This course examines the political role of literature, particularly in relation to the Palestinian-Israeli conflict, gender roles in Islamic culture, and the immigrant experience of Middle Easterners in the United States. Paired and integrated withÿThe Modern Middle East.",1,1,T,9-10,Paired and Integrated with The Modern Middle East,
English- American Studies,1,American Studies,American Literature,R,"The 11th grade course of study in English provides a broad and diverse survey of works by North American authors representing a variety of historical periods and the vast number of perspectives that comprise the American cultural experience. Students address questions such as: How has the notion of American ?liberty? evolved since colonial times, and how is it still evolving?still unfinished? Who?and what?is ?American?? And, most broadly, How does the literature of the United States both reflect and create its culture? Authors include Hawthorne, Thoreau, Alexie, Fitzgerald, and DeLillo.",3,3,Y,11,,
English- Topics in Older Literatures,1,Topics in Older Literatures,Emotion and Motive in Literature: Western Fiction and Drama,E,"Suzanne Langer wrote in Feeling and Form: A Theory of Art: ?Art is a symbolic presentation of feeling.? This course examines one particular theme per year within selections of world literature: revenge, ecstasy, madness, love, guilt, jealousy, ambition. Course readings show how writers (in various genres and across time periods) explore and develop the connection between psychologies of emotion and intention. Major authors include a selection from the following: Euripedes (and other Greek playwrights), Dostoevsky, Shakespeare, Samuel Richardson, Henry Fielding, George Eliot.",1,1,T,12,,
English- Topics in Older Literatures,1,Topics in Older Literatures,The Early Modern and Modern Novel,E,"Today the novel is the most pervasive literary form in the English language, but before the 1700s it did not exist. This course provides an in-depth study of the novel form in the 18th through the mid-20th centuries. Students explore the rise of the novel through a thematic approach--not only the various elements that make up the novel (plot, characterization, style, genre, theme, etc.) but also its development in historical, cultural, and thematic contexts. Major authors include a selection from the following: Defoe, Fielding, Conrad, Austen, Dickens, Twain, James, and Salinger.",1,1,T,12,,
